uni1B2B5	 𛊵 	NUSHU CHARACTER-1B2B5
uni1B2B6	 𛊶 	NUSHU CHARACTER-1B2B6
uni1B2B7	 𛊷 	NUSHU CHARACTER-1B2B7
uni1B2B8	 𛊸 	NUSHU CHARACTER-1B2B8
uni1B2B9	 𛊹 	NUSHU CHARACTER-1B2B9
uni1B2BA	 𛊺 	NUSHU CHARACTER-1B2BA
uni1B2BB	 𛊻 	NUSHU CHARACTER-1B2BB
uni1B2BC	 𛊼 	NUSHU CHARACTER-1B2BC
uni1B2BD	 𛊽 	NUSHU CHARACTER-1B2BD
uni1B2BE	 𛊾 	NUSHU CHARACTER-1B2BE
uni1B2BF	 𛊿 	NUSHU CHARACTER-1B2BF
uni1B2C0	 𛋀 	NUSHU CHARACTER-1B2C0
uni1B2C1	 𛋁 	NUSHU CHARACTER-1B2C1
uni1B2C2	 𛋂 	NUSHU CHARACTER-1B2C2
uni1B2C3	 𛋃 	NUSHU CHARACTER-1B2C3
uni1B2C4	 𛋄 	NUSHU CHARACTER-1B2C4
uni1B2C5	 𛋅 	NUSHU CHARACTER-1B2C5
uni1B2C6	 𛋆 	NUSHU CHARACTER-1B2C6
uni1B2C7	 𛋇 	NUSHU CHARACTER-1B2C7
uni1B2C8	 𛋈 	NUSHU CHARACTER-1B2C8
uni1B2C9	 𛋉 	NUSHU CHARACTER-1B2C9
uni1B2CA	 𛋊 	NUSHU CHARACTER-1B2CA
uni1B2CB	 𛋋 	NUSHU CHARACTER-1B2CB
uni1B2CC	 𛋌 	NUSHU CHARACTER-1B2CC
uni1B2CD	 𛋍 	NUSHU CHARACTER-1B2CD
uni1B2CE	 𛋎 	NUSHU CHARACTER-1B2CE
uni1B2CF	 𛋏 	NUSHU CHARACTER-1B2CF
uni1B2D0	 𛋐 	NUSHU CHARACTER-1B2D0
uni1B2D1	 𛋑 	NUSHU CHARACTER-1B2D1
uni1B2D2	 𛋒 	NUSHU CHARACTER-1B2D2
uni1B2D3	 𛋓 	NUSHU CHARACTER-1B2D3
uni1B2D4	 𛋔 	NUSHU CHARACTER-1B2D4
uni1B2D5	 𛋕 	NUSHU CHARACTER-1B2D5
uni1B2D6	 𛋖 	NUSHU CHARACTER-1B2D6
uni1B2D7	 𛋗 	NUSHU CHARACTER-1B2D7
uni1B2D8	 𛋘 	NUSHU CHARACTER-1B2D8
uni1B2D9	 𛋙 	NUSHU CHARACTER-1B2D9
uni1B2DA	 𛋚 	NUSHU CHARACTER-1B2DA
uni1B2DB	 𛋛 	NUSHU CHARACTER-1B2DB
uni1B2DC	 𛋜 	NUSHU CHARACTER-1B2DC
uni1B2DD	 𛋝 	NUSHU CHARACTER-1B2DD
uni1B2DE	 𛋞 	NUSHU CHARACTER-1B2DE
uni1B2DF	 𛋟 	NUSHU CHARACTER-1B2DF
uni1B2E0	 𛋠 	NUSHU CHARACTER-1B2E0
uni1B2E1	 𛋡 	NUSHU CHARACTER-1B2E1
uni1B2E2	 𛋢 	NUSHU CHARACTER-1B2E2
uni1B2E3	 𛋣 	NUSHU CHARACTER-1B2E3
uni1B2E4	 𛋤 	NUSHU CHARACTER-1B2E4
uni1B2E5	 𛋥 	NUSHU CHARACTER-1B2E5
uni1B2E6	 𛋦 	NUSHU CHARACTER-1B2E6
uni1B2E7	 𛋧 	NUSHU CHARACTER-1B2E7
uni1B2E8	 𛋨 	NUSHU CHARACTER-1B2E8
uni1B2E9	 𛋩 	NUSHU CHARACTER-1B2E9
uni1B2EA	 𛋪 	NUSHU CHARACTER-1B2EA
uni1B2EB	 𛋫 	NUSHU CHARACTER-1B2EB
uni1B2EC	 𛋬 	NUSHU CHARACTER-1B2EC
uni1B2ED	 𛋭 	NUSHU CHARACTER-1B2ED
uni1B2EE	 𛋮 	NUSHU CHARACTER-1B2EE
uni1B2EF	 𛋯 	NUSHU CHARACTER-1B2EF
uni1B2F0	 𛋰 	NUSHU CHARACTER-1B2F0
uni1B2F1	 𛋱 	NUSHU CHARACTER-1B2F1
uni1B2F2	 𛋲 	NUSHU CHARACTER-1B2F2
uni1B2F3	 𛋳 	NUSHU CHARACTER-1B2F3
uni1B2F4	 𛋴 	NUSHU CHARACTER-1B2F4
uni1B2F5	 𛋵 	NUSHU CHARACTER-1B2F5
uni1B2F6	 𛋶 	NUSHU CHARACTER-1B2F6
uni1B2F7	 𛋷 	NUSHU CHARACTER-1B2F7
uni1B2F8	 𛋸 	NUSHU CHARACTER-1B2F8
uni1B2F9	 𛋹 	NUSHU CHARACTER-1B2F9
uni1B2FA	 𛋺 	NUSHU CHARACTER-1B2FA
uni1B2FB	 𛋻 	NUSHU CHARACTER-1B2FB
